Field1_links,image_url,superficie,prix,adresse
https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4797569,https://images.coinafrique.com/thumb_4797569_uploaded_image1_1718546972.jpg,150 m2,2 500 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-yene-toubab-dialaw-4796964,https://images.coinafrique.com/thumb_4796964_uploaded_image1_1718477215.jpg,150 m2,3 500 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-600m2-popenguine-sindia-4796952,https://images.coinafrique.com/thumb_4796952_uploaded_image1_1718476724.jpg,600 m2,16 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-206m-mariste-4750418,https://images.coinafrique.com/thumb_4750418_uploaded_image1_1716039566.jpg,206 ,150 000 000 CFA,"Mariste, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-40000000m-almadies-4795344,https://images.coinafrique.com/thumb_4795344_uploaded_image1_1718363635.jpg,40000000 ,60 000 CFA,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-186m-a-kounoune-4789106,https://images.coinafrique.com/thumb_4789106_uploaded_image1_1718036824.jpg,186 m2,19 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-180-m2-thies-4793749,https://images.coinafrique.com/thumb_4793749_uploaded_image2_1718277751.jpeg,180 ,4 500 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-keur-mbaye-fall-4792870,https://images.coinafrique.com/thumb_4792870_uploaded_image1_1718220956.jpg,300 m2,35 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-keur-mbaye-fall-cite-elevage-4792866,https://images.coinafrique.com/thumb_4792866_uploaded_image1_1718220577.jpg,150 m2,20 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-600-m2-gandigal-4792400,https://images.coinafrique.com/thumb_4792400_uploaded_image1_1718202330.jpg,600 m2,8 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-de-300m2-a-saly-4792380,https://images.coinafrique.com/thumb_4792380_uploaded_image1_1718201820.jpg,300 m2,29 000 000 CFA,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-dakar-bambilor-cite-comico-4792289,https://images.coinafrique.com/thumb_4792289_uploaded_image1_1718199482.jpg,150 ,2 900 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-300m-sicap-liberte-4792246,https://images.coinafrique.com/thumb_4792246_uploaded_image1_1718198265.jpg,300 ,16 000 000 CFA,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m2-thies-4792101,https://images.coinafrique.com/thumb_4792101_uploaded_image1_1718193375.jpg,225 ,3 000 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-225m-thies-4791628,https://images.coinafrique.com/thumb_4791628_uploaded_image1_1718174527.jpg,225 ,1 200 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-4743656,https://images.coinafrique.com/thumb_4743656_uploaded_image1_1715719537.jpg,150 ,75 000 000 CFA,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-1350-m2-thies-4789797,https://images.coinafrique.com/thumb_4789797_uploaded_image1_1718077453.jpg,1350 ,60 000 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-keur-massar-4789758,https://images.coinafrique.com/thumb_4789758_uploaded_image1_1718069374.jpg,150 ,12 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-2-lots-rufisque-4753784,https://images.coinafrique.com/thumb_4753784_uploaded_image1_1716244195.jpg,188 m2,32 000 000 CFA,"Patte d'oie, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-thies-4789390,https://images.coinafrique.com/thumb_4789390_uploaded_image1_1718052141.jpg,150 ,3 000 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-216m-diasse-4789251,https://images.coinafrique.com/thumb_4789251_uploaded_image2_1718044001.jpeg,216 ,3 000 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-diamniadio-4789096,https://images.coinafrique.com/thumb_4789096_uploaded_image1_1718036311.jpg,150 m2,11 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-dakar-4746662,https://images.coinafrique.com/thumb_4746662_uploaded_image1_1715857785.jpg,150 ,10 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-camberene-4746612,https://images.coinafrique.com/thumb_4746612_uploaded_image1_1715856958.jpg,150 ,45 000 000 CFA,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-a-deni-biram-ndao-nord-4788008,https://images.coinafrique.com/thumb_4788008_uploaded_image1_1717973174.jpg,150 m2,2 500 000 CFA,"Lac rose, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-angle-kounoune-4787996,https://images.coinafrique.com/thumb_4787996_uploaded_image1_1717972609.jpg,168 m2,10 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-rufisque-kounoune-4786913,https://images.coinafrique.com/thumb_4786913_uploaded_image1_1717894817.jpg,,25 000 000 CFA,"Grand Dakar, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-grand-mbao-4739678,https://images.coinafrique.com/thumb_4739678_uploaded_image1_1715532262.jpg,365 m2,50 000 000 CFA,"Patte d'oie, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-tf-individue-a-bambilor-4786489,https://images.coinafrique.com/thumb_4786489_uploaded_image1_1717863870.jpg,,15 000 CFA,"Rufisque, Sénégal"
