Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/vente-maison-yembeul-4604698,,,,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-point-e-4604618,15,30,534 ,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-sendou-4603297,9,18,300 m2,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4603063,3,,150 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r3-parcelles-assainies-4602940,3,6,150 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-cite-alioune-sow-golf-sud-4559536,3,6,150 ,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-cite-keur-gorgui-4601206,6,12,,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-almadies-4559091,0,0,12 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-garage-cite-mourtada-4600611,6,12,250 m2,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-diamniadio-4600121,,,,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-mini-villa-2-pieces-citee-mangrove-4599954,6,12,285 m2,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-sacre-coeur-2-4561406,3,6,150 m2,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-saly-4599856,21,42,702 m2,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-06-pieces-ngaparou-4599283,21,42,731 ,"Ngaparou, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-mini-villa-meuble-3-pieces-diamniadio-4598693,3,6,150 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-tivaoune-peulh-4553782,3,6,150 ,"Niaga, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-tivaouane-peulh-4598286,0,0,91 m2,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-guediawaye-4598264,3,6,150 m2,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-cite-keur-gorgui-4578285,6,12,250 ,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-sacre-coeur-4555163,6,12,200 ,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-almadies-4597038,,,,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-fann-residence-4557867,90,180,3000 m2,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-thies-4596243,3,6,120 ,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r2-zac-mbao-4595748,3,6,150 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-rufisque-4594443,6,12,294 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-sacre-coeur-4548649,6,12,,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-12-pieces-keur-massar-4592902,3,6,160 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-almadies-4546365,,,,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbour-4591928,24,48,800 ,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-keur-massar-4591837,3,6,140 m2,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-10-pieces-sipres-4591710,6,12,253 ,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-mini-villa-3-pieces-nord-foire-4591633,3,6,100 m2,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbao-keur-massar-4591071,3,6,150 m2,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-fass-4590923,,,,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-4548327,0,0,12 ,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-keur-massar-4543938,3,6,150 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-almadies-4543864,6,,200 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-mamelles-4543861,6,12,260 ,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-appartement-4-pieces-zac-mbao-4565705,3,6,150 ,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-mermoz-4550001,6,12,200 m2,"Ouakam, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-ziguinchor-4589028,9,,310 ,"Ziguinchor, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-sipres-4589014,6,12,,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-almadies-2-4588452,9,18,307 m2,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dakar-zac-mbao-4548820,6,12,200 ,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-dakar-zac-mbao-4548805,6,12,,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sacre-coeur-4542624,3,6,170 ,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-avec-piscine-almadies-4570077,15,30,500 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mermoz-sacre-coeur-4570072,15,30,500 ,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-sicap-liberte-4562979,0,0,88 ,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-point-e-4587917,6,12,239 ,"Point E, Dakar, Sénégal"
