Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/vente-villa-150m-mbayakh-4546202,3.0,6.0,150.0,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-grand-mbao-4502530,3.0,12.0,160.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa150-m-ouest-foire-4516277,6.0,12.0,150.0,"Damel, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-meule-5-pieces-thies-4544056,6.0,12.0,150.0,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-keur-massar-4543981,3.0,12.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-hann-bel-air-4541683,6.0,12.0,211.0,"Hann Bel-Air, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-fass-mbao-4540712,3.0,6.0,170.0,"Pikine, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-meuble-4-pieces-mermoz-4498358,6.0,12.0,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-sacre-cur-4540364,6.0,12.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-yoff-virage-4498040,6.0,12.0,150.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-saly-4540063,6.0,12.0,150.0,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-niaga-4500870,6.0,12.0,150.0,"Niaga, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-sacre-coeur-4495625,6.0,12.0,250.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-sicap-4538356,3.0,6.0,180.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-somone-4496317,6.0,12.0,150.0,"Ngaparou, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-sipres-4496103,3.0,6.0,168.0,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-ndangane-4537648,0.0,0.0,80.0,"Fatick, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-12-pieces-thies-4536736,6.0,12.0,150.0,"Thies, Sénégal"
